"","Full.Name","College","Draft.Year","Position","Birth.Date","Height..Inches.","Weight","Breakout.Age","Breakout.Year","College.Dominator.Rating","College.YPR","Catch.Radius","Agility.Score","X20.Yard.Shuttle","Height.adjusted.Speed.Score","SPARQ.x","Broad.Jump","X3.Cone.Drill","X40.Yard.Dash","Burst.Score","Vertical.Jump","Hand.Size","Arm.Length","n_40","n_3c","n_20s","n_vj","n_he","n_al","n_bj","cr_score","bs_score","Had.Breakout","Draft.Date","Draft.Age","BMI","Late.Breakout.Date","Pick.Number","SOS.Rank","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","BestFinish","Success"
"601","ross apo","BYU",2015,"WR",1990-09-26,75,210,20.9,2011,23.2,13.3,107.374847973951,11.26,4.27,95.5,100.7,134,6.99,4.61,115.3767245841,36.5,9.25,34.375,0.541176470588235,0.496350364963503,0.605042016806723,0.540540540540541,0.666666666666667,0.767123287671233,0.861111111111111,2.23041815811911,1.40165165165165,"Y",2015-04-01,24.5287671232877,26.2453333333333,2015-10-08,260,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0
"602","rudy rudolph","Christ. Newport",2015,"WR",1993-07-10,73,170,18.2,2011,45.1,19.4,NA,11.52,4.46,78.6,84.6,104,7.06,4.56,77.0214125788407,30,8.375,NA,0.6,0.445255474452555,0.445378151260504,0.189189189189189,0.533333333333333,NA,0.0277777777777778,NA,0.216966966966967,"Y",2015-04-01,21.7397260273973,22.4263464064552,2015-10-08,260,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,0
"603","rueben randle","LSU",2012,"WR",1991-05-07,75,208,19.3,2010,40.5,17.3,97.5476584867097,11.35,4.36,99.7,97.8,121,6.99,4.55,94.0601158207208,31,9.5,33,0.611764705882353,0.496350364963503,0.529411764705882,0.243243243243243,0.666666666666667,0.616438356164384,0.5,1.7845045235503,0.743243243243243,"Y",2012-04-01,20.9178082191781,25.9953777777778,2012-10-08,63,7,88,51,32,33,300,300,300,300,300,300,300,300,300,300,32,0
"604","russell shepard","LSU",2013,"WR",1990-09-17,73,195,23.0739726027397,NA,10.7,7.7,NA,11.46,4.37,94.3,96.8,122,7.09,4.51,108.084840172454,38.5,NA,NA,0.658823529411765,0.423357664233577,0.521008403361344,0.648648648648649,0.533333333333333,NA,0.527777777777778,NA,1.17642642642643,"N",2013-04-01,22.5534246575342,25.7243385250516,2013-10-08,260,15,300,159,166,97,114,300,300,300,300,300,300,300,300,300,97,0
"605","ryan broyles","Oklahoma",2012,"WR",1988-04-09,70,188,21.4,2009,42.9,13.9,NA,NA,NA,82.7,NA,NA,NA,4.57,NA,32.5,9,30.25,0.588235294117647,NA,NA,0.324324324324324,0.333333333333333,0.315068493150685,NA,NA,NA,"Y",2012-04-01,23.9945205479452,26.9722448979592,2012-10-08,54,6,93,147,172,300,300,300,300,300,300,300,300,300,300,300,93,0
"606","ryan grant","Tulane",2014,"WR",1990-12-19,73,191,21.7,2012,45.3,13.5,102.382571293215,10.79,4.11,82.4,96.1,119,6.68,4.64,100.136686163759,35.5,9.63,31,0.505882352941177,0.722627737226277,0.739495798319327,0.486486486486487,0.533333333333333,0.397260273972603,0.444444444444444,2.00389110861321,0.930930930930931,"Y",2014-04-01,23.2986301369863,25.1966597860762,2014-10-08,142,101,153,98,150,53,300,300,300,300,300,300,300,300,300,300,53,0
"607","ryan spadola","Lehigh",2013,"WR",1991-02-15,73,204,19.6,2010,31.3,14.9,104.922481735968,10.79,4.07,101.3,113,119,6.72,4.48,96.6365816461692,33.5,9.68,30.68,0.694117647058823,0.693430656934307,0.773109243697479,0.378378378378378,0.533333333333333,0.362191780821918,0.444444444444444,2.11914081438896,0.822822822822823,"Y",2013-04-01,22.1397260273973,26.9116156877463,2013-10-08,260,227,189,300,300,300,300,300,300,300,300,300,300,300,300,300,189,0
"608","ryan switzer","North Carolina",2017,"WR",1994-11-04,68,181,21.8,2016,24.6,11.6,95.4825734898721,10.77,4,81.5,103.4,116,6.77,4.51,91.3135060256674,32,9.25,28,0.658823529411765,0.656934306569343,0.831932773109244,0.297297297297297,0.2,0.0684931506849315,0.361111111111111,1.69080025969858,0.658408408408408,"Y",2017-04-01,22.4219178082192,27.5179498269896,2017-10-08,133,10,166,300,300,300,300,300,300,300,300,300,300,300,300,300,166,NA
"609","ryan whalen","Stanford",2011,"WR",1989-07-26,73,202,20.1,2009,21.5,10.7,106.109624440606,10.76,4.09,88.7,116.6,123,6.67,4.62,108.984172583224,38.5,9,30,0.529411764705882,0.72992700729927,0.756302521008403,0.648648648648649,0.533333333333333,0.287671232876712,0.555555555555556,2.1730080079405,1.2042042042042,"Y",2011-04-01,21.6958904109589,26.6477763182586,2011-10-08,167,9,159,156,300,300,300,300,300,300,300,300,300,300,300,300,156,0
"610","ryne robinson","Miami (OH)",2007,"WR",1984-11-04,69.13,179,19.93,2004,47.5,12.9,97.3279671493796,10.92,4.21,77.0623713,NA,123,6.71,4.5,102.858989677441,35,9.38,30.5,0.670588235294117,0.700729927007299,0.65546218487395,0.459459459459459,0.275333333333333,0.342465753424658,0.555555555555556,1.77453591931821,1.01501501501502,"Y",2007-04-01,22.4191780821918,26.3314783190449,2007-10-08,118,103,155,300,300,300,300,300,300,300,300,300,300,300,300,300,155,0
"611","saalim hakim","Tarleton State",2012,"WR",1990-02-01,71,188,20.6,2010,15.4,NA,NA,NA,NA,104,NA,NA,NA,4.33,NA,NA,NA,NA,0.870588235294117,NA,NA,NA,0.4,NA,NA,NA,NA,"Y",2012-04-01,22.1780821917808,26.2178139258084,2012-10-08,260,260,300,194,300,300,300,300,300,300,300,300,300,300,300,300,194,0
"612","sammie coates","Auburn",2015,"WR",1993-03-31,73,212,20.4,2013,29.5,21.8,119.116003476912,11.04,4.06,110.1,139,131,6.98,4.43,120.553962516369,41,9.38,33.38,0.752941176470588,0.503649635036496,0.781512605042017,0.783783783783784,0.533333333333333,0.658082191780822,0.777777777777778,2.76317895724279,1.56156156156156,"Y",2015-04-01,22.0164383561644,27.9669731656971,2015-10-08,87,1,189,93,162,300,300,300,300,300,300,300,300,300,300,300,93,0
